site,SUBREGIONE
"69382",Ixtlan
"69613",Ixtlan
"69615",Ixtlan
"70076",Ixtlan
"70306",Ixtlan
"70307",Ixtlan
"70988",Ixtlan
"69146",Ixtlan
"69379",Ixtlan
"69381",Ixtlan
"69612",Ixtlan
"69842",Ixtlan
"69843",Ixtlan
"69844",Ixtlan
"70072",Ixtlan
"70073",Ixtlan
"70302",Ixtlan
"70304",Ixtlan
"70531",Ixtlan
"70760",Ixtlan
"70980",Ixtlan
"70986",Ixtlan
"71212",Ixtlan
"71213",Ixtlan
"71424",Ixtlan
"71637",Ixtlan
"71639",Ixtlan
"71851",Ixtlan
