"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"50","diam_class:succ","2:s1","5:s3",0,-0.115125873026097,-0.269136259005598,0.0388845129534043,0.441,"ns"
"51","diam_class:succ","2:s1","6:s3",0,0.117147032674919,-0.0252774906250417,0.259571555974881,0.266,"ns"
"52","diam_class:succ","3:s1","4:s1",0,0.0759603558467956,-0.073400134783125,0.225320846476716,0.948,"ns"
"53","diam_class:succ","3:s1","5:s1",0,0.228674514267132,0.0331611522800939,0.42418787625417,0.00599,"**"
"54","diam_class:succ","3:s1","6:s1",0,0.268101977682875,0.0171965281360839,0.519007427229667,0.0224,"*"
"55","diam_class:succ","3:s1","1:s2",0,-0.267617418810545,-0.39221395084021,-0.14302088678088,3.72e-10,"****"
"56","diam_class:succ","3:s1","2:s2",0,-0.0456614739106013,-0.169859423562451,0.0785364757412487,0.998,"ns"
"57","diam_class:succ","3:s1","3:s2",0,-0.0435922145518072,-0.169458445124351,0.082274016020737,0.999,"ns"
"58","diam_class:succ","3:s1","4:s2",0,-0.103472811617001,-0.237262761148922,0.0303171379149199,0.376,"ns"
"59","diam_class:succ","3:s1","5:s2",0,-0.078212472485456,-0.23434624709321,0.077921302122298,0.955,"ns"
"60","diam_class:succ","3:s1","6:s2",0,0.0418330342216565,-0.131982236569,0.215648305012313,1,"ns"
"61","diam_class:succ","3:s1","1:s3",0,-0.321560658500078,-0.475835631440192,-0.167285685559964,4.78e-10,"****"
"62","diam_class:succ","3:s1","2:s3",0,-0.227826816868812,-0.377187307498732,-0.078466326238891,1.9e-05,"****"
"63","diam_class:succ","3:s1","3:s3",0,-0.19869085360085,-0.348051344230771,-0.0493303629709298,0.000543,"***"
"64","diam_class:succ","3:s1","4:s3",0,-0.160800797354889,-0.315075770295003,-0.00652582441477531,0.0308,"*"
"65","diam_class:succ","3:s1","5:s3",0,-0.096255409874995,-0.26128638099256,0.06877556124257,0.847,"ns"
"66","diam_class:succ","3:s1","6:s3",0,0.136017495826021,-0.0182574771140925,0.290292468766135,0.163,"ns"
"67","diam_class:succ","4:s1","5:s1",0,0.152714158420336,-0.0516920822009883,0.357120399041661,0.442,"ns"
"68","diam_class:succ","4:s1","6:s1",0,0.19214162183608,-0.0657536691285788,0.450036912800738,0.447,"ns"
"69","diam_class:succ","4:s1","1:s2",0,-0.343577774657341,-0.481710798526681,-0.205444750788,3.43e-10,"****"
"70","diam_class:succ","4:s1","2:s2",0,-0.121621829757397,-0.259395438214139,0.0161517786993457,0.162,"ns"
"71","diam_class:succ","4:s1","3:s2",0,-0.119552570398603,-0.258831946072136,0.0197268052749305,0.2,"ns"
"72","diam_class:succ","4:s1","4:s2",0,-0.179433167463797,-0.325912473460317,-0.032953861467276,0.00273,"**"
"73","diam_class:succ","4:s1","5:s2",0,-0.154172828332252,-0.321308079140492,0.0129624224759884,0.112,"ns"
"74","diam_class:succ","4:s1","6:s2",0,-0.034127321625139,-0.217888538560317,0.149633895310039,1,"ns"
"75","diam_class:succ","4:s1","1:s3",0,-0.397521014346874,-0.562921146647731,-0.232120882046016,3.43e-10,"****"
"76","diam_class:succ","4:s1","2:s3",0,-0.303787172715607,-0.464613142790962,-0.142961202640252,1.25e-08,"****"
"77","diam_class:succ","4:s1","3:s3",0,-0.274651209447646,-0.435477179523001,-0.113825239372291,5.63e-07,"****"
"78","diam_class:succ","4:s1","4:s3",0,-0.236761153201685,-0.402161285502542,-0.0713610209008271,0.000101,"***"
"79","diam_class:succ","4:s1","5:s3",0,-0.172215765721791,-0.347691285146795,0.00325975370321341,0.0613,"ns"
"80","diam_class:succ","4:s1","6:s3",0,0.0600571399792257,-0.105342992321632,0.225457272280083,0.999,"ns"
"81","diam_class:succ","5:s1","6:s1",0,0.0394274634157433,-0.247673389345111,0.326528316176598,1,"ns"
"82","diam_class:succ","5:s1","1:s2",0,-0.496291933077677,-0.683368523910287,-0.309215342245067,3.43e-10,"****"
"83","diam_class:succ","5:s1","2:s2",0,-0.274335988177733,-0.46114735223639,-0.0875246241190771,5.29e-05,"****"
"84","diam_class:succ","5:s1","3:s2",0,-0.272266728818939,-0.460191349457836,-0.0843421081800427,7.48e-05,"****"
"85","diam_class:succ","5:s1","4:s2",0,-0.332147325884133,-0.525468575723581,-0.138826076044685,4.56e-07,"****"
"86","diam_class:succ","5:s1","5:s2",0,-0.306886986752588,-0.516293554502975,-0.0974804190022014,5.58e-05,"****"
"87","diam_class:succ","5:s1","6:s2",0,-0.186841480045476,-0.409743035454498,0.036060075363547,0.235,"ns"
"88","diam_class:succ","5:s1","1:s3",0,-0.55023517276721,-0.7582595038427,-0.34221084169172,3.43e-10,"****"
"89","diam_class:succ","5:s1","2:s3",0,-0.456501331135944,-0.660907571757268,-0.252095090514619,3.47e-10,"****"
"90","diam_class:succ","5:s1","3:s3",0,-0.427365367867982,-0.631771608489307,-0.222959127246658,4.58e-10,"****"
"91","diam_class:succ","5:s1","4:s3",0,-0.389475311622021,-0.597499642697511,-0.181450980546531,1.78e-08,"****"
"92","diam_class:succ","5:s1","5:s3",0,-0.324929924142127,-0.541051594669955,-0.108808253614299,2.84e-05,"****"
"93","diam_class:succ","5:s1","6:s3",0,-0.0926570184411107,-0.300681349516601,0.11536731263438,0.985,"ns"
"94","diam_class:succ","6:s1","1:s2",0,-0.53571939649342,-0.780107859261929,-0.291330933724912,3.53e-10,"****"
"95","diam_class:succ","6:s1","2:s2",0,-0.313763451593477,-0.557948945917482,-0.0695779572694716,0.00111,"**"
"96","diam_class:succ","6:s1","3:s2",0,-0.311694192234683,-0.556732419740262,-0.066655964729103,0.00135,"**"
"97","diam_class:succ","6:s1","4:s2",0,-0.371574789299876,-0.620775863808574,-0.122373714791179,3.54e-05,"****"
"98","diam_class:succ","6:s1","5:s2",0,-0.346314450168331,-0.608190719642677,-0.0844381806939855,0.000616,"***"
"99","diam_class:succ","6:s1","6:s2",0,-0.226268943461219,-0.499056724163662,0.0465188372412248,0.252,"ns"
"100","diam_class:succ","6:s1","1:s3",0,-0.589662636182954,-0.850434935739881,-0.328890336626026,3.45e-10,"****"
"101","diam_class:succ","6:s1","2:s3",0,-0.495928794551687,-0.753824085516345,-0.238033503587028,6.02e-09,"****"
"102","diam_class:succ","6:s1","3:s3",0,-0.466792831283726,-0.724688122248384,-0.208897540319067,6.75e-08,"****"
"103","diam_class:succ","6:s1","4:s3",0,-0.428902775037765,-0.689675074594692,-0.168130475480837,1.98e-06,"****"
"104","diam_class:succ","6:s1","5:s3",0,-0.36435738755787,-0.631633735872759,-0.0970810392429814,0.000319,"***"
"105","diam_class:succ","6:s1","6:s3",0,-0.132084481856854,-0.392856781413782,0.128687817700074,0.95,"ns"
"106","diam_class:succ","1:s2","2:s2",0,0.221955944899944,0.111514526854898,0.33239736294499,1.13e-09,"****"
"107","diam_class:succ","1:s2","3:s2",0,0.224025204258738,0.111710983785024,0.336339424732452,1.45e-09,"****"
"108","diam_class:succ","1:s2","4:s2",0,0.164144607193544,0.0430168782549102,0.285272336132178,0.000364,"***"
"109","diam_class:succ","1:s2","5:s2",0,0.189404946325089,0.0439747854390401,0.334835107211138,0.000845,"***"
"110","diam_class:succ","1:s2","6:s2",0,0.309450453032202,0.145182609307064,0.473718296757339,1.39e-08,"****"
"111","diam_class:succ","1:s2","1:s3",0,-0.0539432396895331,-0.197375953523407,0.0894894741443409,0.998,"ns"
"112","diam_class:succ","1:s2","2:s3",0,0.0397906019417334,-0.0983424219276069,0.177923625811074,1,"ns"
"113","diam_class:succ","1:s2","3:s3",0,0.0689265652096946,-0.0692064586596457,0.207059589079035,0.956,"ns"
"114","diam_class:succ","1:s2","4:s3",0,0.106816621455656,-0.0366160923782182,0.25024933528953,0.448,"ns"
"115","diam_class:succ","1:s2","5:s3",0,0.17136200893555,0.016418801436532,0.326305216434568,0.014,"*"
"116","diam_class:succ","1:s2","6:s3",0,0.403634914636566,0.260202200802692,0.54706762847044,3.43e-10,"****"
"117","diam_class:succ","2:s2","3:s2",0,0.0020692593587941,-0.10980262729966,0.113941146017249,1,"ns"
"118","diam_class:succ","2:s2","4:s2",0,-0.0578113377063998,-0.178529031611375,0.062906356198575,0.97,"ns"
"119","diam_class:succ","2:s2","5:s2",0,-0.0325509985748547,-0.177639821711739,0.11253782456203,1,"ns"
"120","diam_class:succ","2:s2","6:s2",0,0.0874945081322578,-0.0764712181217688,0.251460234386284,0.922,"ns"
"121","diam_class:succ","2:s2","1:s3",0,-0.275899184589477,-0.418985795778833,-0.13281257340012,5.39e-09,"****"
"122","diam_class:succ","2:s2","2:s3",0,-0.18216534295821,-0.319938951414953,-0.0443917345014676,0.000618,"***"
"123","diam_class:succ","2:s2","3:s3",0,-0.153029379690249,-0.290802988146992,-0.0152557712335064,0.0132,"*"
"124","diam_class:succ","2:s2","4:s3",0,-0.115139323444288,-0.258225934633644,0.0279472877450686,0.303,"ns"
"125","diam_class:succ","2:s2","5:s3",0,-0.0505939359643937,-0.205216807668381,0.104028935739594,1,"ns"
"126","diam_class:succ","2:s2","6:s3",0,0.181678969736623,0.0385923585472662,0.324765580925979,0.0014,"**"
"127","diam_class:succ","3:s2","4:s2",0,-0.0598805970651939,-0.182314003137853,0.062552809007465,0.964,"ns"
"128","diam_class:succ","3:s2","5:s2",0,-0.0346202579336488,-0.181139689750946,0.111899173883648,1,"ns"
"129","diam_class:succ","3:s2","6:s2",0,0.0854252487734637,-0.0798077282221342,0.250658225769062,0.94,"ns"
"130","diam_class:succ","3:s2","1:s3",0,-0.277968443948271,-0.422505482808459,-0.133431405088083,5.99e-09,"****"
"131","diam_class:succ","3:s2","2:s3",0,-0.184234602317004,-0.323513977990538,-0.044955226643471,0.000612,"***"
"132","diam_class:succ","3:s2","3:s3",0,-0.155098639049043,-0.294378014722576,-0.0158192633755098,0.0127,"*"
"133","diam_class:succ","3:s2","4:s3",0,-0.117208582803082,-0.26174562166327,0.027328456057106,0.29,"ns"
"134","diam_class:succ","3:s2","5:s3",0,-0.0526631953231878,-0.208629248536075,0.1033028578897,0.999,"ns"
"135","diam_class:succ","3:s2","6:s3",0,0.179609710377829,0.0350726715176406,0.324146749238016,0.0021,"**"
"136","diam_class:succ","4:s2","5:s2",0,0.0252603391315451,-0.128119537310173,0.178640215573263,1,"ns"
"137","diam_class:succ","4:s2","6:s2",0,0.145305845838658,-0.0260399427995254,0.316651634476841,0.218,"ns"
"138","diam_class:succ","4:s2","1:s3",0,-0.218087846883077,-0.369575134137436,-0.0666005596287184,8.77e-05,"****"
"139","diam_class:succ","4:s2","2:s3",0,-0.12435400525181,-0.270833311248331,0.0221253007447101,0.216,"ns"
"140","diam_class:succ","4:s2","3:s3",0,-0.0952180419838493,-0.24169734798037,0.0512612640126713,0.699,"ns"
"141","diam_class:succ","4:s2","4:s3",0,-0.0573279857378881,-0.208815272992247,0.0941593015164706,0.998,"ns"
